Fits Keywords,Assembly,Subsystem,Event_Name,Variable,Description,Type,Unit,Readout ,Raw Frame,Processed Frame
GUIDDEC*,TCS,cmNFIRAOS,ngsTargetInfo,,,,,,,1
GUIDNAM*,TCS,cmNFIRAOS,ngsTargetInfo,,,,,,,1
GUIDPM*,TCS,cmNFIRAOS,ngsTargetInfo,,,,,,,1
GUIDCOL*,TCS,cmNFIRAOS,ngsTargetInfo,,,,,,,1
RA,TCS,pk,currentPosition,ra,"	
Current right ascension (ICRS, at equinox)",,degree,,1,1
DEC,TCS,pk,currentPosition,dec,"Current declination (ICRS, at equinox)",double,degree,,1,1
EQUINOX,TCS,pk,currentPosition,equinox,Equinox of the celestial coordinate system,double,years,,1,1
PARANG,TCS,pk,currentPosition,parallactic,"Current parallactic angle (ICRS, at equinox)",double,degree,,1,1
AZ,TCS,pk,currentPosition,az,Current Azimuth,double,degree,,1,1
EL,TCS,pk,currentPosition,el,Current Elevation,double,degree,,1,1
,TCS,pk,currentPosition,z,Current Zenith Angle,double (1 ≤ x ≤ 65),degree,,1,1
HA,TCS,pk,currentPosition,ha,Current Hour Angle,double,degree,,1,1
AIRMASS,TCS,pk,currentPosition,airmass,"Air Mass (TBD whether plane-parallel, i.e., sec(z), or curvature-corrected)",double,,,1,1
TELFOCUS,TCS,pk,currentPosition,focus,Current focus (with 10 micrometer precision),double,mm,,1,1
TELFRAT,TCS,pk,currentPosition,fratio,Telescope F-ratio (TBD: this is a static quantity),double,,,1,1
LST,TCS,pk,currentPosition,lst,Local Sidereal Time,double,,,1,1
,TCS,pk,currentPosition,timestamp,Timestamp for the data,double,MJD,,1,1
,,,,,,,,,,
PNTGST,TCS,pk,pointingStatus,pointingstate,Current state of the pointing system,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
M3ROT,TCS,TCS M3 Assembly,M3 Position,rotation,Current position in rotation.,double,degree,,,1
M3TILT,,,,tilt,Current position in tilt.,double,degree,,,1
,,,,,,,,,,
M2TIP,TCS,TCS M2 Assembly,M2 Position,tip,Current position in tip.,double,degree,,,1
M2TILT,,,,tilt,Current position in tilt.,double,degree,,,1
M2PISTON,,,,piston,Current position in piston.,double,m,,,1
M2DECENX,,,,decenter-x,Current position in decenter-x.,double,m,,,1
M2DECENY,,,,decenter-y,Current position in decenter-y.,double,m,,,1
,,,,,,,,,,
,,,,,,,,,,
,TCS,cmIRIS,imgAtmDispersion,referenceWavelength,The reference wavelength is the wavelength at which the computed dispersion is reported by the TCS as 0. Range is TBC.,referenceWavelength,referenceWavelength,,,1
,,,,orientation,Orientation of the axis of dispersion due to atmospheric refraction defined in the XY plane of the FCRSIRIS-ROT,orientation,orientation,,,1
IMGDISWV,,,,wavelength,An array of wavelengths. Each provided wavelength value must be unique.,wavelength,wavelength,,,1
IMGDISWT,,,,weight,An array of weights. They must sum to 1.0.,weight,weight,,,1
IMGDISVL,,,,dispersion,An array of atmospheric dispersion values,dispersion,dispersion,,,1
,,,,timestamp,Timestamp for the data,timestamp,timestamp,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
INROTANG,TCS,cmIRIS,instrumentRotatorAngle,instrumentAngle,Current rotator angle in the XY plane of the FCRSIRIS.,double (-135 ≤ x ≤ 135),degrees,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROTANG,TCS,cmIRIS,pupilRotation,pupilRotation,"Future IRIS pupil rotation angle in the X,Y plane of the FCRSIRIS-ROT that will be valid at the time indicated by ""timestamp"" attribute.",double (-180 ≤ x ≤ 180),degrees,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PA,TCS,cmIRIS,positionAngle,positionAngle,Current angle between Y axis of FCRSIRIS and Declination axis (ICRS).,double,degrees,,,1
OIWFS1PS,TCS,cmIRIS,oiwfsProbeDemands,oiwfs1_pos,"2-element array holding x,y values in the FCRSIRIS-ROT.",array[2] of double,mm,,,1
OIWFS2PS,,,,oiwfs2_pos,"2-element array holding x,y values in the FCRSIRIS-ROT.",array[2] of double,mm,,,1
OIWFS3PS,,,,oiwfs3_pos,"2-element array holding x,y values in the FCRSIRIS-ROT.",array[2] of double,mm,,,1
OIWFS1ST,,,,oiwfs1_pointingstate,Current state of the probe event stream,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
OIWFS2ST,,,,oiwfs2_pointingstate,Current state of the probe event stream,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
OIWFS3ST,,,,oiwfs3_pointingstate,Current state of the probe event stream,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
,,,,,,,,,,
ODGW1PS,TCS,cmIRIS,odgwPosDemands,odgw1_pos,"2-element array holding x,y values in the FCRSIRIS-ROT.",array[2] of double,mm,,1,1
ODGW2PS,,,,odgw2_pos,"2-element array holding x,y values in the FCRSIRIS-ROT.",array[2] of double,mm,,1,1
ODGW3PS,,,,odgw3_pos,"2-element array holding x,y values in the FCRSIRIS-ROT.",array[2] of double,mm,,1,1
ODGW4PS,,,,odgw4_pos,"2-element array holding x,y values in the FCRSIRIS-ROT.",array[2] of double,mm,,1,1
ODGW1ST,,,,odgw1_pointingstate,Current state of the ODGW event stream,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
ODGW2ST,,,,odgw2_pointingstate,Current state of the ODGW event stream,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
ODGW3ST,,,,odgw3_pointingstate,Current state of the ODGW event stream,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
ODGW4ST,,,,odgw4_pointingstate,Current state of the ODGW event stream,"enum: (SLEWING, TRACKING, INPOSITION)",,,,1
,,,,,,,,,,
,,,,,,,,,,
ENCBASE,TCS,ENCAssembly,CurrentPosition,base,This is the Current Base Position.,double,degree,,,1
ENCCAP,TCS,ENCAssembly,CurrentPosition,cap,"This is the Current Cap Position
",double,degree,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SSLGSALT,NFIRAOS,ssLgs,current,altitude,Current altitude estimated based on measured range distance and the value set for zenith angle (= current.rangeDistance*cos(simTcs.zenithAngle)).,double (85 ≤ x ≤ 100),km,,,1
,,,,rangeDistance,Current range distance estimated based on SS LGS focus stage position (current.focus).,double (85 ≤ x ≤ 100),km,,,1
,,,,intensity,Current intensity estimate of LGS simulation sources based on current duty cycle (current.dutyCycle),double,photon flux,,,1
SSLGSMAG,NFIRAOS,ssNgs,state,magnitude,"magnitude estimate of the variable intensity NGS sources in R band (TBC), based on manual and motorized attenuator (current.attenuation).",array[7] of double,,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
LGSR0,NFIRAOS,rtc,turbLgs,r0,fried parameter (r0),float,m,,,1
LGSTHT0,,,,theta0,isoplanatic angle (θ0),float,mas,,,1
LGSTHT2,,,,theta2,generalized isoplanatic angle (θ2),float,mas,,,1
LGSL0,,,,L0,turbulence outer scale (L0),float,m,,,1
LGSTAU0,,,,tau0,coherence time (τ0),float,seconds,,,1
LGSCN2P,,,,profile,Cn2 turbulence profile (p),array[12] of float,m-5/3,,,1
,,,,,,,,,,
NGSPROF,NFIRAOS,rtc,turbNgs,groundLayer,ground layer turbulence (p),float,m-5/3,,,1
NGSR0,,,,r0,fried parameter (r0),float,m,,,1
NGSL0,,,,l0,turbulence outer scale (L0),float,m,,,1
NGSTAU0,,,,tau0,coherence time (τ0),float,seconds,,,1
,,,,,,,,,,
AORATEHO,NFIRAOS,rtc,mode,rateHo,high-order loop rate. In LGS mode this is equal to the LGS WFS frame rate. In NGS or SL mode this is equal to the PWFS frame rate.,,,,,1
AORATELO,,,,rateLo,low-order loop rate. This is equal to the Tier 1 and 2 steady-state frame rate.,,,,,1
AORATELT,,,,rateLot,low-order truth loop rate. This is equal to the Tier 3 and 3F steady-state frame rate.,,,,,1
AORATEWC,,,,rateWc,wavefront correction. In LGS mode this should be at least equal to the LGS WFS frame rate. In NGS mode this should be at least equal to the PWFS frame rate. In SL mode his should be at least to the Tier 1 and 2 steady-state frame rate ,,,,,1
AOTIER1,,,,tier1,Tier 1 detector assignment,"enum: (PWFS, OIWFSA, OIWFSB, OIWFSC)",,,,1
AOTIER2,,,,tier2,"Tier 2 detector assignment. The array is ordered Tier 2 [A B].
","array[2] of enum: (NONE, PWFS, OIWFSA, OIWFSB, OIWFSC, ODGW1, ODGW2, ODGW3, ODGW4)",,,,1
AOTIER3,,,,tier3,"Tier 3 detector assignment. The array is ordered Tier 3 [A B C D].
","array[4] of enum: (NONE, OIWFSA, OIWFSB, OIWFSC, ODGW1, ODGW2, ODGW3, ODGW4)",,,,1
AOTIER3F,,,,tier3f,"Tier 3F detector assignment
","enum: (NONE, OIWFSA, OIWFSB, OIWFSC)",,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RESROTER,NFIRAOS,rtc,inst,rot,,,,,,
,,,,,,,,,,
ODGWIMEL,NFIRAOS,rtc,odgwImage,ellip,"ellipticity value based on the averaged spot ellipticity profile, i.e., ratio between σ1 and σ2 of the ellipse.",array[4] of float,pixel,,,1
ODGWIMS1,NFIRAOS,rtc,odgwImage,size1,"image size 1 (σ1) based on the averaged spot ellipticity profile,",array[4] of float,pixel,,,1
ODGWIMS2,NFIRAOS,rtc,odgwImage,size2,image size 2 (σ2) based on the averaged spot ellipticity profile,array[4] of float,pixel,,,1
ODGWIMRT,NFIRAOS,rtc,odgwImage,rot,image rotation angle between the unrotated elliptical coordinate system and the local detector coordinate system,array[4] of float,pixel,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AOISMST,NFIRAOS,ism,state,select,Current ISM selection.,"enum: (BOTTOM, SIDE, TOP, INTERMEDIATE, UNKNOWN)",,,,1
AODM0TM,NFIRAOS,dm,temperature,dm0,Current temperature of DM0,double,C,,,1
AODM11TM,,,,dm11,"Current temperature of DM11
",double,C,,,1
,NFIRAOS,lgsTrombone,sodiumLayer,zenithAngle,Current zenith angle used to calculate range distance from altitude.,double (85 ≤ x ≤ 105),degrees,,,1
AONAALT,,,,altitude,Current best estimate of the sodium layer altitude.,double (1 ≤ x ≤ 65),km,,,1
,,,,,,,,,,
AOENCLTM,NFIRAOS,encl,temperature,inside,Air temperature inside the optical enclosure as reported by the refrigeration controller and the 1-Wire Sensor.,array[2] of double (-40 ≤ x ≤ 40),C,,,1
,,,,outside,Air temperature outside the optical enclosure and the 1-Wire Sensor.,"array[2,3] of double (-40 ≤ x ≤ 40)",C,,,1
AOENCPRE,NFIRAOS,encl,pressure,,,,,,,
CLDSTPX,IRIS,imager.coldstop,current,x_pos,Current position in X axis.,float,mm,,,1
CLDSTPY,,,,y_pos,Current position in Y axis.,float,mm,,,1
CLDSTPTH,,,,theta,Current angle of the rotary stage.,float,degree,,,1
,,,,,,,,,,
,,,,,,,,,,
PPMIRRST,IRIS,pupilview,MIRROR_state,selection,whetehr the mirror is inserted into the light path or not,"enum: (IN, INTERMEDIATE, OUT, UNKNOWN)",,,,1
,,,,,,,,,,
,,,,,,,,,,
FILTER,IRIS,imager.filter,state,current,"Current imager filter name. When two or more filters are inserted in the science light path, filter names are concatinated with TBD character in the order of wheel number.",string,,,1,1
FILTWAVE,,,,wavelength,Current effective filter wavelength. Effective wavelength is defined as,double,,,1,1
FILTDRFL,,,,dark,ndicates whether a dark filter is inserted or not.,boolean,,,,
,,,,,,,,,,
,,,,,,,,,,
FILT1POS,IRIS,imager.filter,wheel1,position,Current position name of this wheel.,"enum: (TBD1, TBD2, TBD3, TBD4, TBD5, TBD6, TBD7, TBD8, TBD9, TBD10, TBD11, TBD12, TBD13, TBD14, THROUGH, HOME, INTERMEDIATE, UNKNOWN)",,,,1
,,,,angle,Current rotation angle from the home position.,float (0 ≤ x < 360),degree,,,1
FILT2POS,IRIS,imager.filter,wheel2,position,Current position name of this wheel.,"enum: (TBD1, TBD2, TBD3, TBD4, TBD5, TBD6, TBD7, TBD8, TBD9, TBD10, TBD11, TBD12, TBD13, TBD14, THROUGH, HOME, INTERMEDIATE, UNKNOWN)",,,,1
,,,,angle,Current rotation angle from the home position.,float (0 ≤ x < 360),degree,,,1
FILT3POS,IRIS,imager.filter,wheel3,position,Current position name of this wheel.,"enum: (TBD1, TBD2, TBD3, TBD4, TBD5, TBD6, TBD7, TBD8, TBD9, TBD10, TBD11, TBD12, TBD13, TBD14, THROUGH, HOME, INTERMEDIATE, UNKNOWN)",,,,1
,,,,angle,Current rotation angle from the home position.,float (0 ≤ x < 360),degree,,,
FILT4POS,IRIS,imager.filter,wheel4,position,Current position name of this wheel.,"enum: (TBD1, TBD2, TBD3, TBD4, TBD5, TBD6, TBD7, TBD8, TBD9, TBD10, TBD11, TBD12, TBD13, TBD14, THROUGH, HOME, INTERMEDIATE, UNKNOWN)",,,,1
,,,,angle,Current rotation angle from the home position.,float (0 ≤ x < 360),degree,,,1
FILT5POS,IRIS,imager.filter,wheel5,position,Current position name of this wheel.,"enum: (TBD1, TBD2, TBD3, TBD4, TBD5, TBD6, TBD7, TBD8, TBD9, TBD10, TBD11, TBD12, TBD13, TBD14, THROUGH, HOME, INTERMEDIATE, UNKNOWN)",,,,1
,,,,angle,Current rotation angle from the home position.,float (0 ≤ x < 360),degree,,,1
,IRIS,imager.adc,PRISM_current,rotationA,Current rotation of the A stage for ADC in FCRSIRIS-ROT,double,degrees,,,1
,,,,rotationB,Current rotation of the B stage for ADC in FCRSIRIS-ROT,double,degrees,,,1
,IRIS,imager.detector,currentConfig,obsId,Observation ID given by LOAD_CONFIGURATION command.,string,,,,1
,,,,totalTime,Actual total exposure time which is rampIntegrationTime multiplied by ramps.,float (0 ≤ x),s,,,1
,,,,rampIntegrationTime,Actual integration time of one ramp. The reuqested integration time is rounded down to the nearest valid integration time which is a multiple of readoutTime.,float (0 ≤ x),s,,,1
,,,,readoutTime,"Time to clock one detector, which is dependent on pixel clocking time and subarray dimensions and channels used.",float,s,,,1
,,,,reads,Number of reads in one ramp. This value is calculated from the requested integration time for one ramp.,integer (1 ≤ x ≤ 100000),,,,1
,,,,ramps,Number of ramps in one exposure which is given by LOAD_CONFIGURATION command.,integer (1 ≤ x ≤ 100000),,,,1
,IRIS,imager.detector,systemConf,detectorName,Serial number of each detector.,,,,,1
,,,,gain,Conversion of photoelectrons to counts for each detector.,,,,,1
,,,,use,,,,,,1
,,,,readNoise,Nominal read noise of the entire array measured at commissioning phase.,,,,,1
,,,,pixelClockingTime,Time to select and read one pixel.,,,,,1
,,,,resetLevel,Reset level of each detector.,,,,,1
,,,,channels,"Number of channels. The possible numbers are 1, 4, 16, 32, 64.",,,,,1
OIWF1SXY,IRIS,oiwfs.poa,POS_current,xy1,"2-element array holding x,y values",array[2] of double,mm,,,1
OIWF2SXY,,,,xy2,"2-element array holding x,y values",array[2] of double,mm,,,1
OIWF3SXY,,,,xy3,"2-element array holding x,y values",array[2] of double,mm,,,1
OIWFS1ST,IRIS,oiwfs.poa,MODE_state,mode1_onTarget,oiwfs1 mode onTarget flag,boolean,,,,1
OIWFS2ST,,,,mode1_onTarget,"oiwfs2 mode onTarget flag
",boolean,,,,1
OIWFS3ST,,,,mode1_onTarget,oiwfs3 mode onTarget flag,boolean,,,,1
EXPNO,IRIS,is,exposureRepeats,currentIFSExposureNumber,Number of current (if in progress) or last IFS exposure at current dither pattern with current instrument configuration (1-based).,integer (0 ≤ x),,,,1
,,,,currentImagerExposureNumber,Number of current (if in progress) or last imager exposure at current dither pattern with current instrument configuration (1-based).,integer (0 ≤ x),,,,1
DITHNO,,,,numberOfIFSExposures,Total number of IFS exposures at current dither pattern.,integer (0 ≤ x),,,,1
,,,,numberOfImagerExposures,Total number of IFS exposures at current dither pattern with current instrument configuration.,integer (0 ≤ x),,,,1
IFSSTATE,IRIS,is,observing,ifs,"IFS is currently observing, means when set the start prepare event was received and will stay that way until the observation is complete is received",boolean,,,1,1
IMSTATE,,,,imager,"IMAGER is currently observing, means when set the start prepare event was received and will stay that way until the observation is complete is received",boolean,,,1,1
IFSMODE,IRIS,is,ifsMode,mode,Indicates if in slicer or lenslet mode,"enum: (LENSLET, SLICER, UNKNOWN)",,,1,1
,IRIS,is,sciAdcFollow,mode,indicates if science adc is currently following,"enum: (FOLLOWING, NOT_FOLLOWING)",,,,1
,IRIS,is,ifsObserveSettings,numRamps,Number of configured ramps. Each ramp is bounded by resets and is of integration time in length. Each ramp has the sampling mode applied. The resultant raw Science Frame is created by adding the output of each ramp.,numRamps,,,1,1
,,,,integrationTime,"Integration time, this is the length of time for each ramp",integrationTime,,,1,1
,,,,samplingMode,"This is the sampling mode. This could be CDS, MDS or UTR",samplingMode,,,1,1
NUMREADS,,,,numReads,Number of raw readouts used in the sampling mode per ramp. This is the number of raw readouts that are added together before being used in the sampling mode to create a single frame. This number is only used in sample modes of MDS and UTR,numReads,,,1,1
NUMRAMPS,IRIS,is,imagerObserveSettings,numRamps,Number of configured ramps. Each ramp is bounded by resets and is of integration time in length. Each ramp has the sampling mode applied. The resultant raw Science Frame is created by adding the output of each ramp.,numRamps,,,1,1
RAMPINTT,,,,integrationTime,"Integration time, this is the length of time for each ramp",integrationTime,,,1,1
SAMPMODE,,,,samplingMode,"This is the sampling mode. This could be CDS, MDS or UTR",samplingMode,,,1,1
NUMREADS,,,,numReads,Number of raw readouts used in the sampling mode per ramp. This is the number of raw readouts that are added together before being used in the sampling mode to create a single frame. This number is only used in sample modes of MDS and UTR,numReads,,,1,1
IFSSCALE,IRIS,ifs.scale,scale,current,IFS Scale,,,,1,1
IFSMODE,IRIS,ifs.scale,IFSmode,mode,Current IFS mode,"enum: (lenslet, slicer)",,,1,1
PCKMRRPS,IRIS,ifs.scale,pickoffMirrorMech,position,Current position name of pickoff mirror mechanism.,"enum: (IN, OUT)",,,,1
PRSCPPOS,IRIS,ifs.scale,periscopeMirrorMech,position,Current position name of periscope mirror mechanism.,"enum: (IN, OUT)",,,,1
IFSO1POS,IRIS,ifs.scale,firstopticsmech,position,Current position name of first optics mechanism.,"enum: (TBD1, TBD2)",,,,1
IFSO2POS,IRIS,ifs.scale,secondopticsmech,position,Current position name of second optics mechanism.,,,,,1
IFSGRTST,IRIS,ifs.res,GRATING_state,selection,the current grating selection,"enum: (4000-Z, 4000-Y, 4000-J, 4000-H, 4000-K, 4000-H+K, 8000-Z, 8000-Y, 8000-J, 8000-H, 8000-Kn1-3, 8000-Kn4-5, 8000-Kbb, 10000-Z, 10000-Y, 10000-J, 10000-H, 1000-K, Mirror, INTERMEDIATE, UNKNOWN)",,,1,1
LLMSKST,IRIS,ifs.res,LENSLETMASK_state,selection,the current lenslet mask position,"enum: (FULL_OPEN, SERRATED_WIDE, FINE_MASK, FINE_MASK_CALIBRATION, INTERMEDIATE, UNKNOWN)",,,1,1
SLMSKST,IRIS,ifs.res,SLICERMASK_state,selection,the current slicer mask position,"enum: (FULL_OPEN, INTERMEDIATE, HALF, UNKNOWN)",,,1,1
IFSRES,IRIS,ifs.res,resolution,current,Current spectral resolution.,"enum: (4000-Z, 4000-Y, 4000-J, 4000-H, 4000-K, 4000-H+K, 8000-Z, 8000-Y, 8000-J, 8000-H, 8000-Kn1-3, 8000-Kn4-5, 8000-Kbb, 10000-Z, 10000-Y, 10000-J, 10000-H, 1000-K, Mirror)",,,1,1
IFSGRTPS,IRIS,ifs.res,gratingmech,position,Current position name of spectral resolution grating mechanism.,string,,,,1
LLMSKPOS,IRIS,ifs.res,lensletmaskmech,position,Current position name of spectral resolution lenslet mask mechanism.,string,,,,
,IRIS,ifs.res,slicermaskmech,position,Current position name of spectral resolution slicer mask mechanism.,string,,,,1
OBSID,IRIS,ifs.detector,currentConfig,obsId,Observation ID given by LOAD_CONFIGURATION command.,string,,,,1
EXPTIME,,,,totalTime,Actual total exposure time which is rampIntegrationTime multiplied by ramps.,float (0 ≤ x),s,,,1
RAMPTIME,,,,rampIntegrationTime,Actual integration time of one ramp. The reuqested integration time is rounded down to the nearest valid integration time which is a multiple of readoutTime.,float (0 ≤ x),s,,,1
READTIME,,,,readoutTime,"Time to clock one detector, which is dependent on pixel clocking time and subarray dimensions and channels used.",float,s,,,1
NUMREADS,,,,reads,Number of reads in one ramp. This value is calculated from the requested integration time for one ramp.,integer (1 ≤ x ≤ 100000),,,,1
NUMRAMPS,,,,ramps,Number of ramps in one exposure which is given by LOAD_CONFIGURATION command.,integer (1 ≤ x ≤ 100000),,,,1
,IRIS,ifs.detector,systemConf,detectorName,Serial number of each detector.,,,,,1
GAIN,,,,gain,Conversion of photoelectrons to counts for each detector.,,,,1,1
,,,,use,,,,,1,1
READNOIS,,,,readNoise,Nominal read noise of the entire array measured at commissioning phase.,,,,,1
,,,,pixelClockingTime,Time to select and read one pixel.,,,,1,1
,,,,resetLevel,Reset level of each detector.,,,,1,1
,,,,channels,"Number of channels. The possible numbers are 1, 4, 16, 32, 64.",,,,1,1
IMGTMPXX,IRIS,sc.cryoenv,IMGTEMP[XX],sensorID,ID of the sensor assigned for the temperature reading,sensorID,,,1,1
,,,,reading,Temperature reading of the sensor in kelvin,reading,,,1,1
,,,,unit,Temperature unit,unit,,,1,1
IFSTMPXX,IRIS,sc.cryoenv,IFSTEMP[XX],sensorID,ID of the sensor assigned for the temperature reading,sensorID,,,1,1
,,,,reading,Temperature reading of the sensor in kelvin,reading,,,1,1
,,,,unit,Temperature unit,unit,,,1,1
TMPTMP,IRIS,el.env,TEMP_TEMP[N],sensorID,ID of the sensor assigned for the temperature reading,sensorID,,,1,1
,,,,reading,Temperature reading of the sensor in kelvin,reading,,,1,1
,,,,unit,Temperature unit,unit,,,1,1
,ESEN,ESEN Publisher Assembly,wind-speeds,,,,,,,1
,ESEN,ESEN Publisher Assembly,air-temperatures,,,,,,,1
,ESEN,ESEN Publisher Assembly,surface-temperatures,,,,,,,1
,ESEN,ESEN Publisher Assembly,structural-temperatures,,,,,,,1
,ESEN,ESEN Publisher Assembly,humidities,,,,,,,1
,ESEN,ESEN Publisher Assembly,dew-points,,,,,,,1
,ESEN,ESEN Publisher Assembly,pressures,,,,,,,1
